rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,vector,x,y,z
1577455610457170194,,2516,,1577455610,454118885,'',,1.47523963451,1.33779501915,92.0
1577455610555967793,,2517,,1577455610,554118885,'',,1.48440265656,1.35612094402,92.0
1577455610657972785,,2518,,1577455610,654118885,'',,1.48440265656,1.34695792198,92.0
1577455610757226702,,2519,,1577455610,754118885,'',,1.47523963451,1.34695792198,92.0
1577455610854322943,,2520,,1577455610,854118885,'',,1.48440265656,1.34695792198,92.0
1577455610957241586,,2521,,1577455610,954118885,'',,1.49356555939,1.35612094402,93.0
1577455611055733213,,2522,,1577455611,54118885,'',,1.48440265656,1.33779501915,94.0
1577455611157820261,,2523,,1577455611,154118885,'',,1.49356555939,1.36528384686,94.0
1577455611256232795,,2524,,1577455611,254118885,'',,1.50272858143,1.35612094402,94.0
1577455611354568398,,2525,,1577455611,354118885,'',,1.49356555939,1.34695792198,94.0
1577455611456876525,,2526,,1577455611,454118885,'',,1.50272858143,1.36528384686,94.0
1577455611555407686,,2527,,1577455611,552184999,'',,1.51189160347,1.36528384686,94.0
1577455611657829975,,2528,,1577455611,652184999,'',,1.49356555939,1.35612094402,94.0
1577455611755935533,,2529,,1577455611,752184999,'',,1.50272858143,1.3744468689,94.0
1577455611858714203,,2530,,1577455611,852184999,'',,1.51189160347,1.3744468689,94.0
1577455611956854296,,2531,,1577455611,952184999,'',,1.50272858143,1.35612094402,94.0
1577455612055087597,,2532,,1577455612,52184999,'',,1.50272858143,1.3744468689,94.0
1577455612157147421,,2533,,1577455612,152184999,'',,1.50272858143,1.38360977173,94.0
1577455612255949162,,2534,,1577455612,252184999,'',,1.49356555939,1.35612094402,94.0
1577455612357840700,,2535,,1577455612,352184999,'',,1.51189160347,1.38360977173,94.0
1577455612456435821,,2536,,1577455612,452184999,'',,1.51189160347,1.38360977173,94.0
1577455612554490515,,2537,,1577455612,552184999,'',,1.50272858143,1.35612094402,94.0
1577455612656834356,,2538,,1577455612,652184999,'',,1.51189160347,1.3744468689,94.0
1577455612755672572,,2539,,1577455612,752184999,'',,1.51189160347,1.38360977173,94.0
1577455612857994702,,2540,,1577455612,852184999,'',,1.50272858143,1.36528384686,95.0
1577455612956141156,,2541,,1577455612,952184999,'',,1.51189160347,1.38360977173,95.0
1577455613058823604,,2542,,1577455613,52184999,'',,1.52105462551,1.38360977173,95.0
1577455613157271646,,2543,,1577455613,152184999,'',,1.50272858143,1.3744468689,95.0
1577455613259408427,,2544,,1577455613,252184999,'',,1.52105462551,1.38360977173,95.0
1577455613357564374,,2545,,1577455613,352184999,'',,1.52105462551,1.39277279377,95.0
1577455613456297589,,2546,,1577455613,452184999,'',,1.50272858143,1.3744468689,95.0
1577455613558588369,,2547,,1577455613,552184999,'',,1.52105462551,1.38360977173,95.0
1577455613656638742,,2548,,1577455613,652184999,'',,1.50272858143,1.3744468689,95.0
1577455613759537202,,2549,,1577455613,752184999,'',,1.52105462551,1.38360977173,95.0
1577455613857800747,,2550,,1577455613,852184999,'',,1.53021740913,1.39277279377,95.0
1577455613956162808,,2551,,1577455613,952184999,'',,1.50272858143,1.38360977173,95.0
1577455614058038487,,2552,,1577455614,53902971,'',,1.52105462551,1.39277279377,95.0
1577455614156564977,,2553,,1577455614,153902971,'',,1.53021740913,1.39277279377,95.0
1577455614259007211,,2554,,1577455614,253902971,'',,1.51189160347,1.3744468689,95.0
1577455614357606456,,2555,,1577455614,353902971,'',,1.53021740913,1.39277279377,95.0
1577455614459504061,,2556,,1577455614,453902971,'',,1.53021740913,1.40193581581,96.0
1577455614558280763,,2557,,1577455614,553902971,'',,1.52105462551,1.38360977173,96.0
1577455614656609180,,2558,,1577455614,653902971,'',,1.53021740913,1.39277279377,96.0
1577455614759035688,,2559,,1577455614,753902971,'',,1.53021740913,1.40193581581,96.0
1577455614856964590,,2560,,1577455614,853902971,'',,1.52105462551,1.38360977173,96.0
1577455614959744627,,2561,,1577455614,953902971,'',,1.53021740913,1.40193581581,96.0
1577455615058316827,,2562,,1577455615,53902971,'',,1.53938031197,1.40193581581,96.0
1577455615156513217,,2563,,1577455615,153902971,'',,1.53021740913,1.38360977173,96.0
1577455615258572761,,2564,,1577455615,253902971,'',,1.53938031197,1.40193581581,96.0
1577455615356496556,,2565,,1577455615,353902971,'',,1.53938031197,1.40193581581,96.0
1577455615459813542,,2566,,1577455615,453902971,'',,1.52105462551,1.38360977173,96.0
1577455615557913859,,2567,,1577455615,553902971,'',,1.53938031197,1.41109883785,96.0
1577455615660026928,,2568,,1577455615,653902971,'',,1.53938031197,1.40193581581,96.0
1577455615758445960,,2569,,1577455615,753902971,'',,1.52105462551,1.38360977173,96.0
1577455615856445115,,2570,,1577455615,853902971,'',,1.53021740913,1.40193581581,96.0
1577455615959215097,,2571,,1577455615,953902971,'',,1.53938031197,1.41109883785,96.0
1577455616057518244,,2572,,1577455616,53902971,'',,1.52105462551,1.38360977173,97.0
1577455616160024145,,2573,,1577455616,153902971,'',,1.53938031197,1.41109883785,97.0
1577455616258326672,,2574,,1577455616,253902971,'',,1.53938031197,1.41109883785,97.0
1577455616360550770,,2575,,1577455616,353902971,'',,1.52105462551,1.39277279377,97.0
